"Settings","LabelActions","Conditions","ColumnAssetCondition","SchematizedDataCondition","LocaleSettings","ContentTypeRemovalViolations","DisplayName","ParentId","AbacEnabled","CustomSecurityAttributeRequired","IsParent","IsLabelGroup","Tooltip","DefaultContentLabel","ContentType","Capabilities","ParentLabelDisplayName","MTOOwnerLabelId","MTOOwnerTenantId","CanonicalLabelId","ReadOnly","ExternalIdentity","ImmutableId","Priority","Workload","Policy","Comment","Disabled","Mode","ObjectVersion","CreatedBy","LastModifiedBy","Guid","Identity","Id","IsValid","ExchangeVersion","Name","DistinguishedName","ObjectCategory","ObjectClass","WhenChanged","WhenCreated","WhenChangedUTC","WhenCreatedUTC","ExchangeObjectId","OrganizationalUnitRoot","OrganizationId","OriginatingServer","ObjectState"
"[color, #393939] [isparent, False] [contenttype, File, Email] [tooltip, Non-business data, for personal use only.] [displayname, Non-Business]","","",,,"{""LocaleKey"":""displayName"",""Settings"":[{""Key"":""default"",""Value"":""Non-Business""}]} {""LocaleKey"":""tooltip"",""Settings"":[{""Key"":""default"",""Value"":""Non-business data, for personal use only.""}]}",,"Non-Business",,,,"False","False","Non-business data, for personal use only.",,"File, Email","",,,,,"False","","e7af28d8-4e12-494e-96be-b4d333514abc","0","Exchange, SharePoint","6ab07763-90b3-4d22-a23e-5a924169350e","","False","Enforce","70e3d248-f357-4518-c5cf-08dd81114fb4","Admin-Phelps - Admin","Admin-Phelps - Admin","e7af28d8-4e12-494e-96be-b4d333514abc","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us/Configuration/Non-Business","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us/Configuration/Non-Business","True","0.20 (15.0.0.0)","Non-Business","CN=Non-Business,CN=Configuration,CN=Gdotsg.onmicrosoft.us,OU=Microsoft Exchange Hosted Organizations,DC=FFO,DC=extest,DC=microsoft,DC=com",,"msExchUnifiedRule","4/21/2025 3:15:50 PM","5/14/2024 3:12:25 PM","4/21/2025 8:15:50 PM","5/14/2024 8:12:25 PM","e7af28d8-4e12-494e-96be-b4d333514abc","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us - FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us/Configuration","","Unchanged"
"[color, #13A10E] [isparent, False] [contenttype, File, Email] [tooltip, Business data that is specifically prepared and approved for public consumption.] [displayname, Public]","","",,,"{""LocaleKey"":""displayName"",""Settings"":[{""Key"":""default"",""Value"":""Public""}]} {""LocaleKey"":""tooltip"",""Settings"":[{""Key"":""default"",""Value"":""Business data that is specifically prepared and approved for public consumption.""}]}",,"Public",,,,"False","False","Business data that is specifically prepared and approved for public consumption.",,"File, Email","",,,,,"False","","10fb2cc5-f932-4b5e-8c7f-76ccd6e40206","1","Exchange, SharePoint","6ab07763-90b3-4d22-a23e-5a924169350e","","False","Enforce","a0b14a26-fe33-44c2-17c2-08dd81115785","Admin-Phelps - Admin","Admin-Phelps - Admin","10fb2cc5-f932-4b5e-8c7f-76ccd6e40206","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us/Configuration/Public","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us/Configuration/Public","True","0.20 (15.0.0.0)","Public","CN=Public,CN=Configuration,CN=Gdotsg.onmicrosoft.us,OU=Microsoft Exchange Hosted Organizations,DC=FFO,DC=extest,DC=microsoft,DC=com",,"msExchUnifiedRule","4/21/2025 3:16:03 PM","5/12/2024 6:41:37 PM","4/21/2025 8:16:03 PM","5/12/2024 11:41:37 PM","10fb2cc5-f932-4b5e-8c7f-76ccd6e40206","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us - FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us/Configuration","","Unchanged"
"[color, #3A96DD] [isparent, False] [contenttype, File, Email] [tooltip, Business data that is not intended for public consumption. However, this can be shared with external partners, as required. Examples include a company internal telephone directory, organizational charts, internal standards, and most internal communication.] [displayname, General]","","",,,"{""LocaleKey"":""displayName"",""Settings"":[{""Key"":""default"",""Value"":""General""}]} {""LocaleKey"":""tooltip"",""Settings"":[{""Key"":""default"",""Value"":""Business data that is not intended for public consumption. However, this can be shared with external partners, as required. Examples include a company internal telephone directory, organizational charts, internal standards, and most internal communication.""}]}",,"General",,,,"False","False","Business data that is not intended for public consumption. However, this can be shared with external partners, as required. Examples include a company internal telephone directory, organizational charts, internal standards, and most internal communication.",,"File, Email","",,,,,"False","","fdb1afee-b479-41bb-a472-155f756ed790","2","Exchange, SharePoint","6ab07763-90b3-4d22-a23e-5a924169350e","","False","Enforce","9a871870-64f4-4368-5e06-08dc74523d82","Admin-Phelps - Admin","Admin-Phelps - Admin","fdb1afee-b479-41bb-a472-155f756ed790","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us/Configuration/General","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us/Configuration/General","True","0.20 (15.0.0.0)","General","CN=General,CN=Configuration,CN=Gdotsg.onmicrosoft.us,OU=Microsoft Exchange Hosted Organizations,DC=FFO,DC=extest,DC=microsoft,DC=com",,"msExchUnifiedRule","5/14/2024 3:12:54 PM","4/30/2024 8:45:36 PM","5/14/2024 8:12:54 PM","5/1/2024 1:45:36 AM","fdb1afee-b479-41bb-a472-155f756ed790","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us - FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us/Configuration","","Unchanged"
"[color, #3A96DD] [parentid, fdb1afee-b479-41bb-a472-155f756ed790] [contenttype, File, Email, Teamwork] [tooltip, Organization data that isn’t intended for public consumption but can be shared with external partners if appropriate. Examples include customer conversations that don’t include sensitive info or released marketing materials.] [isparent, False] [displayname, Anyone (Unrestricted)]","","",,,"{""LocaleKey"":""displayName"",""Settings"":[{""Key"":""default"",""Value"":""Anyone (Unrestricted)""}]} {""LocaleKey"":""tooltip"",""Settings"":[{""Key"":""default"",""Value"":""Organization data that isn’t intended for public consumption but can be shared with external partners if appropriate. Examples include customer conversations that don’t include sensitive info or released marketing materials.""}]}",,"Anyone (Unrestricted)","fdb1afee-b479-41bb-a472-155f756ed790",,,"False","False","Organization data that isn’t intended for public consumption but can be shared with external partners if appropriate. Examples include customer conversations that don’t include sensitive info or released marketing materials.",,"File, Email, Teamwork","","General",,,,"False","","b50ecbd4-0393-4378-93a1-d294d955a1a3","3","Exchange, SharePoint","6ab07763-90b3-4d22-a23e-5a924169350e","","False","Enforce","6891340f-01a3-40f5-e2a5-08de8135dda4","Admin-Phelps - Admin","Admin-Phelps - Admin","b50ecbd4-0393-4378-93a1-d294d955a1a3","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us/Configuration/Anyone","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us/Configuration/Anyone","True","0.20 (15.0.0.0)","Anyone","CN=Anyone,CN=Configuration,CN=Gdotsg.onmicrosoft.us,OU=Microsoft Exchange Hosted Organizations,DC=FFO,DC=extest,DC=microsoft,DC=com",,"msExchUnifiedRule","3/13/2026 2:22:28 PM","5/14/2024 3:09:43 PM","3/13/2026 7:22:28 PM","5/14/2024 8:09:43 PM","b50ecbd4-0393-4378-93a1-d294d955a1a3","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us - FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us/Configuration","","Unchanged"
"[color, #3A96DD] [parentid, fdb1afee-b479-41bb-a472-155f756ed790] [contenttype, File, Email, Site, UnifiedGroup, Teamwork] [tooltip, General business data that can be shared with trusted people inside and outside your organization. These people can also reshare the data as needed.] [isparent, False] [displayname, Trusted People (Allow External Collaboration and Sharing)]","{""Type"":""encrypt"",""SubType"":null,""Settings"":[{""Key"":""protectiontype"",""Value"":""template""},{""Key"":""disabled"",""Value"":""true""},{""Key"":""templateid"",""Value"":""cafc16ec-7cfe-4acb-8d18-b223066c37fe""},{""Key"":""linkedtemplateid"",""Value"":""cafc16ec-7cfe-4acb-8d18-b223066c37fe""},{""Key"":""templatearchived"",""Value"":""True""}]} {""Type"":""protectgroup"",""SubType"":null,""Settings"":[{""Key"":""privacy"",""Value"":""unspecified""},{""Key"":""allowemailfromguestusers"",""Value"":""false""},{""Key"":""allowaccesstoguestusers"",""Value"":""true""},{""Key"":""disabled"",""Value"":""false""}]} {""Type"":""protectsite"",""SubType"":null,""Settings"":[{""Key"":""allowfullaccess"",""Value"":""false""},{""Key"":""allowlimitedaccess"",""Value"":""true""},{""Key"":""blockaccess"",""Value"":""false""},{""Key"":""disabled"",""Value"":""false""},{""Key"":""externalsharingcontroltype"",""Value"":""ExistingExternalUserSharingOnly""}]} {""Type"":""protectteamschannel"",""SubType"":null,""Settings"":[{""Key"":""disabled"",""Value"":""false""},{""Key"":""allowprivateteamstobediscoverableusingsearch"",""Value"":""false""},{""Key"":""ischannelsharedwithexternaltenants"",""Value"":""true""},{""Key"":""ischannelsharedwithsamelabelonly"",""Value"":""true""},{""Key"":""ischannelsharedwithprivateteamsonly"",""Value"":""false""}]}","",,,"{""LocaleKey"":""displayName"",""Settings"":[{""Key"":""default"",""Value"":""Trusted People (Allow External Collaboration and Sharing)""}]} {""LocaleKey"":""tooltip"",""Settings"":[{""Key"":""default"",""Value"":""General business data that can be shared with trusted people inside and outside your organization. These people can also reshare the data as needed.""}]}",,"Trusted People (Allow External Collaboration and Sharing)","fdb1afee-b479-41bb-a472-155f756ed790",,,"False","False","General business data that can be shared with trusted people inside and outside your organization. These people can also reshare the data as needed.",,"File, Email, Site, UnifiedGroup, Teamwork","","General",,,,"False","","280e57a3-0044-4cda-b3de-93176bf30f2e","4","Exchange, SharePoint","6ab07763-90b3-4d22-a23e-5a924169350e","","False","Enforce","413c9723-2bdb-4455-1abf-08de839651f8","Admin-Phelps - Admin","Admin-Phelps - Admin","280e57a3-0044-4cda-b3de-93176bf30f2e","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us/Configuration/General Trusted People","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us/Configuration/General Trusted People","True","0.20 (15.0.0.0)","General Trusted People","CN=General Trusted People,CN=Configuration,CN=Gdotsg.onmicrosoft.us,OU=Microsoft Exchange Hosted Organizations,DC=FFO,DC=extest,DC=microsoft,DC=com",,"msExchUnifiedRule","3/16/2026 2:57:57 PM","4/29/2025 8:24:19 PM","3/16/2026 7:57:57 PM","4/30/2025 1:24:19 AM","280e57a3-0044-4cda-b3de-93176bf30f2e","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us - FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us/Configuration","","Unchanged"
"[color, #3A96DD] [parentid, fdb1afee-b479-41bb-a472-155f756ed790] [contenttype, File, Email, Site, UnifiedGroup, Teamwork] [tooltip, Organization data that isn’t intended for public consumption. If you need to share this content with external partners, confirm with other data owners that it's OK to share and then change the label to General \ Anyone (unrestricted) . Examples include a company internal telephone directory, organizational charts, internal standards, and most internal communication.] [isparent, False] [displayname, GDOTS Internal (Employees and Contractors)]","{""Type"":""protectgroup"",""SubType"":null,""Settings"":[{""Key"":""disabled"",""Value"":""false""},{""Key"":""privacy"",""Value"":""private""},{""Key"":""allowemailfromguestusers"",""Value"":""false""},{""Key"":""allowaccesstoguestusers"",""Value"":""false""}]} {""Type"":""encrypt"",""SubType"":null,""Settings"":[{""Key"":""disabled"",""Value"":""true""},{""Key"":""protectiontype"",""Value"":""template""},{""Key"":""templateid"",""Value"":""3fdc8cb0-c7ea-427b-831a-b0f412441b2b""},{""Key"":""linkedtemplateid"",""Value"":""3fdc8cb0-c7ea-427b-831a-b0f412441b2b""},{""Key"":""templatearchived"",""Value"":""True""}]} {""Type"":""protectsite"",""SubType"":null,""Settings"":[{""Key"":""allowfullaccess"",""Value"":""false""},{""Key"":""allowlimitedaccess"",""Value"":""false""},{""Key"":""blockaccess"",""Value"":""false""},{""Key"":""disabled"",""Value"":""false""},{""Key"":""externalsharingcontroltype"",""Value"":""Disabled""},{""Key"":""protectionlevel"",""Value"":""{\""Id\"":\""c2\"",\""DisplayName\"":\""GD-OTS Internal Access Only\"",\""Description\"":\""Allow only GDOTS access\""}""}]} {""Type"":""protectteamschannel"",""SubType"":null,""Settings"":[{""Key"":""disabled"",""Value"":""false""},{""Key"":""allowprivateteamstobediscoverableusingsearch"",""Value"":""false""},{""Key"":""ischannelsharedwithexternaltenants"",""Value"":""false""},{""Key"":""ischannelsharedwithsamelabelonly"",""Value"":""false""},{""Key"":""ischannelsharedwithprivateteamsonly"",""Value"":""false""}]}","",,,"{""LocaleKey"":""displayName"",""Settings"":[{""Key"":""default"",""Value"":""GDOTS Internal (Employees and Contractors)""}]} {""LocaleKey"":""tooltip"",""Settings"":[{""Key"":""default"",""Value"":""Organization data that isn’t intended for public consumption. If you need to share this content with external partners, confirm with other data owners that it's OK to share and then change the label to General \\ Anyone (unrestricted) . Examples include a company internal telephone directory, organizational charts, internal standards, and most internal communication.""}]}",,"GDOTS Internal (Employees and Contractors)","fdb1afee-b479-41bb-a472-155f756ed790",,,"False","False","Organization data that isn’t intended for public consumption. If you need to share this content with external partners, confirm with other data owners that it's OK to share and then change the label to General \ Anyone (unrestricted) . Examples include a company internal telephone directory, organizational charts, internal standards, and most internal communication.",,"File, Email, Site, UnifiedGroup, Teamwork","","General",,,,"False","","13833c6c-ebd1-4ec2-a603-fcf4dd4a6f1a","5","Exchange, SharePoint","6ab07763-90b3-4d22-a23e-5a924169350e","","False","Enforce","a84f9ac6-5db6-4bbf-107f-08de839622fe","Admin-Phelps - Admin","Admin-Phelps - Admin","13833c6c-ebd1-4ec2-a603-fcf4dd4a6f1a","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us/Configuration/All Employees","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us/Configuration/All Employees","True","0.20 (15.0.0.0)","All Employees","CN=All Employees,CN=Configuration,CN=Gdotsg.onmicrosoft.us,OU=Microsoft Exchange Hosted Organizations,DC=FFO,DC=extest,DC=microsoft,DC=com",,"msExchUnifiedRule","3/16/2026 2:56:38 PM","5/14/2024 3:10:20 PM","3/16/2026 7:56:38 PM","5/14/2024 8:10:20 PM","13833c6c-ebd1-4ec2-a603-fcf4dd4a6f1a","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us","FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us - FFO.extest.microsoft.com/Microsoft Exchange Hosted Organizations/Gdotsg.onmicrosoft.us/Configuration","","Unchanged"
